	ENV_COV_24_1916_S51.tsv
summarized	[('Other', 0.6873550498398315), ('KP.2* (KP.2.X)', 0.22351715280923534), ('KP.3* (KP.3.X)', 0.08780481987225135), ('BA.2.86* (BA.2.86.X)', 0.0007774302333545323), ('Omicron', 0.0005455530942018702), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.2884365508564096e-07)]
lineages	LB.1.3.4 KP.3.4 KP.2 KP.2.10 KP.2.15 KP.2.14 JN.1.11.2 KP.3.2.4 KP.2.24 XEE MG.3 KP.2.25 LR.3 LT.1 KP.2.3.9 KP.2.3.10 KP.2.3 NG.1 KR.1 KR.1.1 KR.1.4 MU.4 KP.3.3.1 XEN XDK.4 LF.7.3.1 LF.7.3 NN.1.1 NN.1 XDK.1.1 FU.5 B.1.1.388
abundances	0.62990200 0.07706170 0.05565227 0.05565227 0.05565227 0.05565227 0.05565227 0.01060900 0.00073280 0.00054555 0.00039040 0.00026183 0.00020857 0.00019378 0.00017528 0.00017528 0.00017528 0.00017528 0.00015693 0.00015693 0.00015693 0.00013835 0.00013412 0.00009701 0.00008677 0.00006121 0.00006121 0.00003610 0.00003610 0.00001015 0.00000013 0.00000010
resid	3.0685465109835093
coverage	65.36802327525666
