	ENV-COV-24-1766_S65.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.8487283224043358), ('KP.3* (KP.3.X)', 0.10253949305640736), ('Other', 0.04647007121884162), ('JN.1.18* (JN.1.18.X)', 0.0019673354576772734), ('KP.2* (KP.2.X)', 0.00016863622367395463), ('KP.3.1.1* (KP.3.1.1.X)', 8.410756801165912e-05), ('Omicron', 4.26743946008697e-05), ('XBB* (XBB.X)', 9.332105290664147e-07), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.4141454403475613e-07), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.2759862290572384e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.1729733198796476e-07)]
lineages	JN.1.48.3 JN.11 JN.1.30 JN.1.52 JN.1.53 JN.1.16 JN.1.58 JN.1.42 JN.1.31 JN.1.49.2 JN.1.36.1 JN.1.35 JN.1.48 JN.1.53.1 JN.1.36 JN.1.11 JN.1.58.1 JN.1.42.1 JN.19 JN.1.49.3 JN.1.68 JN.1.37 JN.17 JN.10 JN.3 JN.3.2 JN.11.1 JN.1 JN.18 JN.13 JN.1.38 JN.1.45 JN.1.49 JN.1.28 JN.1.63 JN.1.61 JN.1.15 JN.1.10 JN.1.34 JN.1.68.1 JN.13.1 JN.4 KP.3.3 KP.3.1.4 KP.1 KP.3 KP.3.1.6 KP.3.4 MM.1 KP.3.3.4 KP.3.3.2 JN.1.11.1 BA.2.86.1 KP.3.3.5 KP.3.1 JN.1.18.2 JN.1.18.4 JN.1.46 JN.1.22 XEB JN.1.57 JN.1.57.1 KP.3.2.7 LF.4 KP.3.5 JN.1.25 LF.10 KP.2.3 KP.2.3.10 ML.1 ML.2 KP.3.3.3 BA.2.86.7 BA.2.86.3 JQ.1 KU.2.1 MC.13.2 MC.13 MD.1.2 LY.1 KP.3.1.9 BA.2.52 KP.2.3.5 MF.1 KP.3.3.1 KP.2.3.14 B.46 NJ.1 KP.4.2 KP.4.2.2 JN.1.17 XBB.1.41.2 DT.2 B.1.36.33 FY.5.3 FU.4 B.1.1.225 FL.13.5 XBS CH.1.1.16 XBB.7 XK B.1.1.482
abundances	0.38155690 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.01132770 0.00107409 0.00081988 0.00070398 0.00054675 0.00042564 0.00030694 0.00030694 0.00021612 0.00021338 0.00017081 0.00016815 0.00014278 0.00013422 0.00013422 0.00013062 0.00013062 0.00013062 0.00012284 0.00012202 0.00012202 0.00009219 0.00008411 0.00008411 0.00007500 0.00007336 0.00006956 0.00004217 0.00003442 0.00002762 0.00002751 0.00000811 0.00000186 0.00000140 0.00000106 0.00000106 0.00000073 0.00000063 0.00000029 0.00000024 0.00000020 0.00000014 0.00000014 0.00000013 0.00000012 0.00000012 0.00000011 0.00000010 0.00000010
resid	2.357936271296654
coverage	44.76139517774136
