	ENV-COV-24-1821_S28.tsv
summarized	[('KP.3* (KP.3.X)', 0.9981461914471413), ('Other', 0.0018538077039476073)]
lineages	KP.3.4 LP.7 KP.2.25.3 KP.2.25
abundances	0.99814619 0.00172414 0.00006483 0.00006483
resid	4.9476906132977705
coverage	69.5147644049092
