	../variants/ENV-NIC-23-0044.tsv
summarized	[('Omicron', 0.9999999814482409)]
lineages	BQ.1.1.38 BA.5.11 BE.1 BA.5.6 BF.4 BF.19 BA.5
abundances	0.63422001 0.28384967 0.07815900 0.00168067 0.00070522 0.00069541 0.00069000
resid	7.351055386875609
coverage	77.53068254021336
