	depths_tsv_03_20/ENV_COV_24_0431_S36.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9987796031634243)]
lineages	JN.1.18 BA.2.86.3 BA.2.86.1 JN.1.4.2 BA.2.86 JN.1.20
abundances	0.46715993 0.22145700 0.15270917 0.14295000 0.00896915 0.00553435
resid	13.25000978303025
coverage	97.81292846871551
