	../variants/ENV-NIC-22-0990.tsv
summarized	[('Omicron', 0.9992715055524123), ('Other', 0.0004530331423322703), ('A', 0.00011877632896822579), ('XBB* (XBB.X)', 9.389916136015274e-05), ('Alpha', 4.2243877212956864e-05), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 2.0478938381112577e-05)]
lineages	BA.5.11 BE.8 BA.5.5 EE.3 BQ.1.1.35 BA.5.1.37 BA.5.5.3 EE.5 BA.5.1.10 BA.5.3.5 CZ.1 BQ.1.30 BA.5.1.26 BF.16 EC.1.1 EC.1 BQ.1.1.61 DU.1 BF.7.5.1 BE.1.4.3 DZ.1 CP.1.3 DJ.1.1.1 DF.1.1 AK.2 BF.11.2 XBG M.3 A.16 B.1.1.196 GA.7.1 AP.1 BA.5.1.4 EA.1 BQ.1.1.79 BA.5.12 ER.1 AV.1 XCB BA.5.1.9 B.1.36.31 BQ.1.1.49 A.23 Q.6 BF.7.14.4 XBC.1.1.2 GH.1 BA.5.1.38 BF.27 BF.7.19.1 S.1 BQ.1.1.78 BF.42 B.1.1.327 XAQ A.27 XAW GT.1 BA.5.2.35 FL.4.6 BF.7.4.1 BA.4.1.11 B.1.1.524 BK.1 HE.1 B.1.1.528 B.1.618 BA.5.5.1 A.7 EB.1 DJ.1.3 Q.5 CP.7 CQ.1.1 DF.1 B.1.214.3
abundances	0.40773672 0.32927400 0.25866331 0.00085814 0.00020329 0.00017404 0.00014758 0.00014449 0.00013509 0.00009606 0.00009312 0.00009288 0.00009148 0.00009097 0.00008435 0.00008435 0.00007668 0.00007209 0.00007161 0.00007047 0.00006820 0.00006757 0.00006261 0.00006258 0.00005860 0.00005814 0.00005434 0.00005110 0.00005057 0.00005031 0.00004670 0.00004505 0.00004405 0.00004355 0.00004236 0.00004180 0.00003994 0.00003840 0.00003715 0.00003496 0.00003424 0.00003360 0.00003319 0.00003319 0.00003271 0.00003268 0.00003121 0.00003100 0.00002981 0.00002936 0.00002642 0.00002520 0.00002478 0.00002393 0.00002389 0.00002324 0.00002214 0.00002162 0.00002116 0.00002048 0.00001968 0.00001929 0.00001786 0.00001615 0.00001599 0.00001524 0.00001468 0.00001412 0.00001178 0.00001096 0.00001043 0.00000906 0.00000489 0.00000442 0.00000210 0.00000076
resid	8.999662582635457
coverage	80.1825903755476
