	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0228.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9990849999979838)]
lineages	JN.1.14 JN.1.4.1 JN.1.6.1 JN.1.4 JN.1.18 JN.1.6 JN.1.16 JN.1.15 JN.1.10 JN.1
abundances	0.09990850 0.09990850 0.09990850 0.09990850 0.09990850 0.09990850 0.09990850 0.09990850 0.09990850 0.09990850
resid	0.703039509149582
coverage	68.10353476239843
