	ENV_COV_24_2052_S35.tsv
summarized	[('KP.3* (KP.3.X)', 0.4734374152501547), ('LB.1* (LB.1.X)', 0.3162291010034017), ('BA.2.86* (BA.2.86.X)', 0.20760181068289849), ('KP.2* (KP.2.X)', 0.0010282723346343944), ('KP.3.1.1* (KP.3.1.1.X)', 0.0007333100663497815), ('Other', 0.0004468343004687985), ('JN.1.18* (JN.1.18.X)', 0.0003410765198686495), ('Omicron', 0.00018193157238352738)]
lineages	KP.3.1 LB.1.1 JN.1.16.1 LF.3 JN.1.52 KP.2.3 MC.13 LB.1.2 KP.3.1.7 JN.1.63.1 MD.1.1.1 JN.1.18.4 KP.2.3.2 JN.1.64.1 XE LB.1.10 LF.5 MD.3.1 JN.1.67.1 MJ.1 LZ.1
abundances	0.47299228 0.31564737 0.10263186 0.10263186 0.00125396 0.00083364 0.00073331 0.00058173 0.00044514 0.00041876 0.00029594 0.00027555 0.00019464 0.00019231 0.00018193 0.00015090 0.00014662 0.00014047 0.00010068 0.00008529 0.00006552
resid	8.027073827864582
coverage	89.88395813129118
