	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-006.tsv
summarized	[('Omicron', 0.9963122284773105)]
lineages	BA.1 BA.3 BA.1.14 BA.1.14.1 XAD
abundances	0.35043606 0.27868367 0.15096164 0.15096136 0.06526949
resid	5.567251917894068
coverage	80.68421228639266
