	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-21-483.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9163279343264036), ('Omicron', 0.08333299913185555)]
lineages	XBB.1.5.83 BA.2.10 XBB.1.5.88
abundances	0.88461500 0.08333300 0.03171293
resid	5.981969795428383
coverage	26.211416914690833
