	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-0424.tsv
summarized	[('Other', 0.9211743399999619), ('Omicron', 0.0023332200000024533)]
lineages	AZ.4 BA.4.1.3 BF.42 B.1.1.54 B.1.1.448 B.1.1.437 R.2
abundances	0.91666700 0.00118906 0.00114416 0.00113507 0.00113507 0.00112360 0.00111359
resid	0.9239371844463233
coverage	5.096478614185868
