	../variants/ENV_COV_24_1545_2_S71.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 1.000000206589615)]
lineages	JN.1.48.3 KP.1.1.4
abundances	0.57575800 0.42424220
resid	5.044087720795254
coverage	66.56857171521251
