	depths_tsv_03_20/ENV_COV_24_0387_S22.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9993542518847368)]
lineages	JN.1.18 BA.2.86.1 JN.10
abundances	0.83519525 0.11843000 0.04572900
resid	8.68438874254479
coverage	96.47861418586764
