	ENV-COV-24-1670_S68.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.999600350783005), ('JN.1.18* (JN.1.18.X)', 0.00022655103311680245), ('Other', 0.00013657554137008586), ('JN.1.7* (JN.1.7.X)', 3.638849541844794e-05)]
lineages	JN.1.48.3 LF.2 JN.1.47 JN.1.2.1 JN.1.4 JN.1.52 LU.2.1 KP.4 JN.1.48.1 LQ.1 LQ.3 LR.3 XEK.1.1 JN.1.49 JN.1.25 JN.1.4.7 JN.1.44 JN.1.8.3 JN.1.34 JN.1.16 XDR JN.1.7.5 JN.1.58 JN.1.8 LU.2
abundances	0.99739582 0.00040642 0.00020060 0.00016889 0.00016040 0.00014924 0.00014529 0.00014009 0.00011718 0.00011522 0.00011133 0.00010541 0.00009363 0.00009013 0.00008897 0.00008407 0.00008289 0.00008073 0.00007809 0.00006503 0.00004294 0.00003639 0.00002692 0.00000807 0.00000612
resid	12.872298737367482
coverage	89.53951108584423
