	ENV-COV-24-1756_S58.tsv
summarized	[('KP.2* (KP.2.X)', 0.5000407567205964), ('Other', 0.49962764913728563), ('BA.2.86* (BA.2.86.X)', 0.00031728182781502235), ('LB.1* (LB.1.X)', 1.4276770745342993e-05)]
lineages	KP.2.6 KP.2.6.1 KP.2.17 KP.2.15 KP.2.25 MF.1 LU.2.1 KP.2.3.3 NK.1 LP.7 LE.1.3.1 KP.3.1.9 NL.1 JN.1.11.2 NL.6 NQ.1 KP.2.3.2 LB.1.1
abundances	0.49909113 0.49909113 0.00066489 0.00015195 0.00013818 0.00013804 0.00010683 0.00010628 0.00009156 0.00008089 0.00007240 0.00005078 0.00004843 0.00004680 0.00004219 0.00003770 0.00002651 0.00001428
resid	8.152892269572096
coverage	77.97879811390162
