	ENV-COV-24-1812_S22.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.6687039727122195), ('KP.3* (KP.3.X)', 0.32438974986619046), ('Other', 0.006906274677992301)]
lineages	LF.9 KP.3.4 LF.9.1 JN.1.16.3 LB.1.3.4 KP.2.3.8 LW.1.1 KU.2.1 KU.2 JN.1.39.1
abundances	0.44446348 0.32420100 0.15092900 0.07287025 0.00671100 0.00019527 0.00018875 0.00016608 0.00014642 0.00012875
resid	10.78043404993102
coverage	90.65980002006488
