	../variants/ENV-NIC-22-0764.tsv
summarized	[('Omicron', 0.9997362661830982), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.00018893988921294243), ('Other', 7.200263957834625e-05), ('CH.1.1* [Omicron (CH.1.1.X)]', 2.742129530293669e-06)]
lineages	BA.5.2.21 BE.6 XBE BE.7 BA.5.11 BA.5 CP.3 BA.5.3.5 BA.5.2.62 BA.5.3.2 CN.2 CV.1 BF.11.3 BA.5.2.10 BN.1.2.5 BF.27 BM.1.1.3 B.1.1.70 B.1.524 FK.1.5
abundances	0.29982553 0.21291731 0.15181919 0.14100245 0.14084892 0.05216832 0.00026404 0.00025963 0.00018109 0.00015461 0.00011047 0.00008998 0.00008522 0.00005307 0.00005300 0.00004642 0.00004596 0.00004204 0.00002996 0.00000274
resid	10.549777660429548
coverage	91.94729625790055
