	depths_tsv_03_20/ENV_COV_24_0304_S9.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9979278510004346)]
lineages	JN.1.8 JN.1.6.1 JN.1.4 JN.1.12 JN.1.18 JN.1.6 JN.1.16 JN.1
abundances	0.12474098 0.12474098 0.12474098 0.12474098 0.12474098 0.12474098 0.12474098 0.12474098
resid	6.528429406351636
coverage	51.1487141758352
