	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0328_S20.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.998390618302823)]
lineages	JN.1.18 BA.2.86.1 BA.2.86
abundances	0.75956091 0.11941485 0.11941485
resid	6.951748380661124
coverage	63.43845099153931
