	depths_tsv_03_20/ENV_COV_24_0410_S30.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9988652084883252)]
lineages	JN.1.18 JN.1.4.3 JN.2.5
abundances	0.74881400 0.17733730 0.07271391
resid	9.46592348231192
coverage	83.43310035782363
