	depths_tsv_03_20/ENV_COV_24_0415_S31.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9993972900280711)]
lineages	BA.2.86 JN.1.8
abundances	0.99819384 0.00120345
resid	11.260058549194898
coverage	97.96675918804134
