	depths_tsv_03_20/ENV_COV_24_0261_S3.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9989119525740422)]
lineages	BA.2.86.3 JN.1.18 BA.2.86 JN.5
abundances	0.42849500 0.28488909 0.21484087 0.07068700
resid	13.098930716242041
coverage	96.88994415276059
