	../variants/ENV-NIC-22-0644.tsv
summarized	[('Omicron', 0.9999999982865031)]
lineages	BA.4.1.9 BA.4.1.3 XQ BA.4.1.8 BA.5.1.28 BA.4.6.4 XAS BE.12 XL
abundances	0.99951142 0.00013552 0.00011322 0.00006996 0.00005804 0.00005009 0.00004933 0.00000896 0.00000345
resid	0.7424523897221006
coverage	59.38534595191118
