	../variants/POS-CTRL-24-06_S113.tsv
summarized	[('Other', 0.9998474629526851), ('A', 0.0001524878245632046)]
lineages	B.40 B.61 B.20 B.19 B.5 B.47 B.50 B.1.14 B.10 B.42 B.51 B B.52 B.12 A.9 B.4.2 B.46 B.1.570 A.16 B.37 B.1.187 B.1.1.449 B.58 B.39 B.30 B.1.1.408 AK.1 B.1.627 B.1.69 B.1.177.89 B.1.534 B.1.355
abundances	0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.08225862 0.01161050 0.00030372 0.00008055 0.00008031 0.00007674 0.00007539 0.00007194 0.00006963 0.00006553 0.00006175 0.00005290 0.00005290 0.00005204 0.00004604 0.00004589 0.00003814 0.00003517 0.00002943 0.00002778 0.00002020
resid	0.5772434778021537
coverage	61.76637795538909
