	depths_tsv_03_20/ENV_COV_24_0385_S20.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9998438719989535)]
lineages	JN.1 JN.1.18
abundances	0.74578987 0.25405400
resid	7.3374551592211485
coverage	65.88971006253553
