	../variants/ENV_COV_24_2208_S142.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.4582862454196526), ('JN.1.18* (JN.1.18.X)', 0.3486515898764753), ('LB.1* (LB.1.X)', 0.19306199409797092)]
lineages	JN.1.45 JN.1.18.5 JN.1.18.3 JN.1.18 JN.1.39.2 JN.1.16.1 LB.1.3.4 NZ.1 KU.2 JN.1.30.1 JN.1.28 JN.1.47 JN.1.35 JN.1.18.9 LF.2 MD.3 JN.11 JN.1.19 JN.1.1.5 KR.3 JN.1.54.1 JN.1.54
abundances	0.21961500 0.11601357 0.11601357 0.11601357 0.11601357 0.11601357 0.09653100 0.09653100 0.00126262 0.00126262 0.00092336 0.00081817 0.00067934 0.00061087 0.00037495 0.00030468 0.00026997 0.00020141 0.00019669 0.00019669 0.00011041 0.00004317
resid	6.153840314924517
coverage	88.37574825268368
