	ENV_COV_24_1883_S59.tsv
summarized	[('KP.3* (KP.3.X)', 0.4087077354936175), ('BA.2.86* (BA.2.86.X)', 0.3780159411064483), ('LB.1* (LB.1.X)', 0.20903198461424233), ('KP.2* (KP.2.X)', 0.002844147483536882), ('Other', 0.0014001216272538936)]
lineages	JN.1.48.3 KP.3.6 LB.1 KP.3 LB.1.1 KP.2.20 KP.2.15 KS.1.1.2 JN.1.47.1 KP.2.3.13 JN.2.5 JN.1.48.1 KP.4 LE.1.2 XEL KP.3.2.4 JN.1.59.1 LD.1 KP.2.3.10
abundances	0.37609293 0.27179329 0.19963044 0.13674586 0.00940154 0.00202020 0.00082395 0.00075897 0.00062305 0.00043860 0.00032415 0.00027988 0.00026712 0.00018141 0.00017474 0.00016859 0.00013887 0.00010854 0.00002782
resid	8.418339787505493
coverage	92.42885329231181
