	../variants/ENV-NIC-22-0301.tsv
summarized	[('Omicron', 0.9998365420697993), ('Delta', 6.464136497363345e-05), ('XBB* (XBB.X)', 6.354864657904156e-05), ('Other', 3.5245879438604234e-05)]
lineages	BA.4.1 BA.4.6 BA.4 BA.5 BA.4.4 BA.4.7 B.1.1.529 BA.4.5 XAS BA.2.41 XAJ BA.2.19 BA.2.9.1 BA.2.81 BF.11.3 BA.2.4 BA.2.60 BA.4.2 BA.5.1.7 AY.43.1 XBB.1.24.2 DQ.1 BF.11.4 BA.5.2.32 XBL.1 B.1.532 XBS EB.1
abundances	0.70175400 0.13148256 0.09890840 0.03578828 0.02602740 0.00270114 0.00179400 0.00018720 0.00015426 0.00014224 0.00011168 0.00008930 0.00008173 0.00008163 0.00007876 0.00007240 0.00007205 0.00007057 0.00006787 0.00006464 0.00006355 0.00006125 0.00005961 0.00002300 0.00001889 0.00001636 0.00001578 0.00001146
resid	6.95408151384917
coverage	90.33876199712404
