	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0279_S9.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9983645787475111)]
lineages	BA.2.86.2 BA.2.86
abundances	0.49918229 0.49918229
resid	3.605279358427004
coverage	38.1801157074541
