	depths_tsv_03_20/ENV_COV_24_0336_S10.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9988782647001754)]
lineages	JN.1.18 BA.2.86.3 BA.2.86.1
abundances	0.83581802 0.14868600 0.01437424
resid	10.089732831747064
coverage	95.4619937798883
