	ENV-COV-24-1810_S20.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.5025974356609874), ('BA.2.86* (BA.2.86.X)', 0.487910736279806), ('KP.3* (KP.3.X)', 0.007442367705121157), ('Other', 0.0017910321664503341), ('KP.2* (KP.2.X)', 0.00025839521241242014), ('Omicron', 1.0137890519985514e-07)]
lineages	MC.1 KP.5 KP.3.2 MC.1.2 NS.2 MC.22 MC.28 KP.2.15.1 KP.3.1 JN.1.8.1 BF.7.13.2
abundances	0.50259744 0.48791052 0.00744197 0.00069971 0.00043407 0.00034644 0.00031081 0.00025840 0.00000040 0.00000022 0.00000010
resid	5.989278613274139
coverage	70.78888405845568
