	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0331_S21.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9990289370218646)]
lineages	BA.2.86.1 BA.2.86
abundances	0.49951447 0.49951447
resid	5.890481001077229
coverage	40.86212085743905
