	ENV_COV_24_1897_S45.tsv
summarized	[('Other', 0.3748658569253646), ('BA.2.86* (BA.2.86.X)', 0.2685375814949171), ('KP.3* (KP.3.X)', 0.1925009558038488), ('KP.2* (KP.2.X)', 0.16409674227993482), ('Omicron', 5.200267055654557e-07), ('XBB* (XBB.X)', 3.5972558538687444e-07)]
lineages	LB.1.3.4 JN.1.11 KP.3.4 KP.2.3.6 JN.1.32.1 KP.3.5 KP.2.3.3 JN.1.4.8 KP.3.4.1 JN.1.4.7 JN.1.57.1 XBB.1.30 B.1.221 B.1.1.382 BA.2.8 B.1.1.170 BA.1.15.2 BF.32
abundances	0.37486506 0.22350437 0.19165255 0.16376219 0.04460578 0.00069394 0.00033455 0.00017662 0.00015447 0.00014526 0.00010555 0.00000036 0.00000032 0.00000031 0.00000023 0.00000017 0.00000017 0.00000012
resid	9.846138711790585
coverage	94.82995017222352
