	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0226.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.8982943818437918), ('Omicron', 0.0907025217919995)]
lineages	XBB.1.5.88 XBB.1.5.24 XBB.1.5.81 BQ.1.1 EW.1
abundances	0.42377762 0.28721868 0.18729808 0.07736922 0.01333330
resid	13.063532430530213
coverage	95.00050162191084
