	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0227.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.5319310918690832), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.27728087281409664), ('Omicron', 0.11397953878621722), ('Other', 0.06848722105476274)]
lineages	FL.35 XBB.1.5.25 JB.1 XBB.1.5.4 BA.5.1.20 XBW BA.5.1.33
abundances	0.27728087 0.23962200 0.15674600 0.13556309 0.11276418 0.06848722 0.00121536
resid	11.899293434592545
coverage	96.0973815336254
