	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-0764.tsv
summarized	[('Omicron', 0.9985817615567478)]
lineages	BA.5.2.21 BE.6 XBE BE.7 BA.5.11 BA.5
abundances	0.29982553 0.21302530 0.15181924 0.14089446 0.14084892 0.05216832
resid	10.500649926955138
coverage	91.94729625790055
