	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0934.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.6429055591563946), ('XBB* (XBB.X)', 0.23540248763175908), ('BA.2.86* (BA.2.86X)', 0.11888095697438501)]
lineages	XBB.1.5.81 HS.1 JW.1.1 JB.2 BA.2.86 XBB.1.41.1 XBB.1.5.91
abundances	0.27015186 0.17516576 0.17311200 0.17056500 0.11888096 0.06229049 0.02702294
resid	15.564556276374809
coverage	94.69284018325921
