	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0499.tsv
summarized	[('XBB* (XBB.X)', 0.581331661096353), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.2591044879002182), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.1513411437049873)]
lineages	XBB.1.22 XBB.1.5.83 XBB.1.9 FL.4 XBB.1.5.59 XBB.1.5.55 XBB.1.5.84 HA.1
abundances	0.41869551 0.17111900 0.16263615 0.15134114 0.03246196 0.03246196 0.02205880 0.00100276
resid	9.273735416387186
coverage	96.08734909540848
