	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0501.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.8218112523805208), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.17001430751296887), ('XBB* (XBB.X)', 0.0018211381175944968)]
lineages	JB.2.1 XBB.1.5.96 FL.2.7 XBB.1.5.53 JB.2 FL.35 FL.35.1 XBB.1.22
abundances	0.53760300 0.16289625 0.14762626 0.07117057 0.05014143 0.01160439 0.01078366 0.00182114
resid	8.53770770111825
coverage	93.65281075477377
