	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-0987.tsv
summarized	[('Omicron', 0.9941972684472677)]
lineages	BE.7 BQ.1.1.3 BE.1.1 BA.5.11 BQ.1.1.38
abundances	0.50516100 0.24727000 0.11028326 0.10739524 0.02408776
resid	10.197683347969837
coverage	97.91994114302912
