	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0281.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9938131313442747)]
lineages	XBB.1.5.59
abundances	0.99381313
resid	5.982029764210841
coverage	95.57903889241882
