	summarized	lineages	abundances	resid	coverage
ENV-COV-24-1011_S63.tsv	[('BA.2.86* (BA.2.86X)', 0.9992364591136293)]	KP.1 JN.1.18 JN.1.11.1 BA.2.86.3 JN.8	0.77239100 0.07359673 0.06721900 0.05782086 0.02820887	14.057068762898798	98.37808915493429
ENV-COV-24-1012_S64.tsv	[('BA.2.86* (BA.2.86X)', 0.9990310079987748)]	BA.2.86.3 JN.1.18	0.92685600 0.07217501	11.249551577433682	88.10487242082735
ENV-COV-24-1013_S65.tsv	[('BA.2.86* (BA.2.86X)', 0.9500727145403026), ('Other', 0.04814676139242562)]	JN.1.18 JN.3 JN.11 JN.1.4 JN.1.11.1 XDP KP.1 JN.1.9 JN.1.4.3	0.30583767 0.27969039 0.10182200 0.08356641 0.07780060 0.04814676 0.04652540 0.03884090 0.01598935	15.16437131862569	97.85305822158311
ENV-COV-24-1014_S66.tsv	[('BA.2.86* (BA.2.86X)', 0.988680263170247), ('Omicron', 0.008819897253281328)]	JN.1.18 KP.1 JQ.1 BA.2.86.3 JN.1.9 JN.1.1.1 BA.3 JN.1.11.1 JN.1.14	0.48172830 0.13419600 0.11674210 0.10163090 0.08510200 0.06213254 0.00881990 0.00478700 0.00236143	18.98345355955804	97.43169581647327
ENV-COV-24-1015_S67.tsv	[('BA.2.86* (BA.2.86X)', 0.9989220679869449)]	JN.1.4 JN.1.11	0.99381632 0.00510575	10.112417114821229	94.73631408219912
ENV-COV-24-1016_S68.tsv	[('BA.2.86* (BA.2.86X)', 0.9993461640077721)]	JN.1.11 JN.1.18 BA.2.86 JN.11 JN.1 JN.1.22 JN.1.12	0.50000000 0.26530600 0.10297006 0.07791500 0.05113684 0.00101626 0.00100200	11.775786853977305	71.03635086780591
ENV-COV-24-1019_S69.tsv	[('BA.2.86* (BA.2.86X)', 0.9995409999936988)]	JN.1.18 JN.1.11 JN.1.11.1	0.49028200 0.25462950 0.25462950	6.336044626645571	70.89589673276929
ENV-COV-24-1020_S70.tsv	[('BA.2.86* (BA.2.86X)', 0.9994145212983937)]	JN.1.11.1 JN.1.16	0.83333300 0.16608152	10.784178329939595	88.49613751128649
ENV-COV-24-1021_S71.tsv	[('BA.2.86* (BA.2.86X)', 0.9822367041767509), ('Other', 0.015992442498928377)]	JN.1.18 JN.1.9 JN.1.11.1 BA.2.86.1 XDK KP.1 JN.1.1.4 JN.1.6.1	0.42930553 0.40423900 0.07884230 0.04574051 0.01599244 0.01426990 0.00830337 0.00153610	11.545756770455814	97.42835167040096
ENV-COV-24-1022_S72.tsv	[('BA.2.86* (BA.2.86X)', 0.9992638742627845)]	JN.1.11 JN.1.1.2 JN.1.23 JN.1.4.2 JN.1.14 JN.1.13 JN.1.5 JN.1.17 JN.1.4.1 JN.1.6.1 JN.1.19 JN.1.22 JN.1.4 JN.1.18 JN.1.1 JN.1.6 JN.1.16 JN.1.9 JN.1.20 JN.1.15 JN.1.21 JN.1.10 JN.1.3 JN.1.2 JN.1	0.49999989 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267 0.02080267	0.5471147666727485	37.74872086412734
ENV-COV-24-1023_S73.tsv	[('BA.2.86* (BA.2.86X)', 0.9998271374967814)]	JN.1.1.3	0.99982714	11.648150965625614	62.74286860850082
ENV-COV-24-1026_S75.tsv	[('BA.2.86* (BA.2.86X)', 0.998739303999188)]	BA.2.86 JN.1.9 JN.1.1 JN.1.11.1 JN.1.1.1 JN.1.1.3 BA.2.86.3	0.32960192 0.21116660 0.17532800 0.14674850 0.06740600 0.05635769 0.01213060	15.056173988807501	97.08056047888172
ENV-COV-24-1027_S76.tsv	[('BA.2.86* (BA.2.86X)', 0.9990790189825806)]	BA.2.86 JN.1.18 JN.1.1.1 JN.1.11.1 JN.1.11	0.38141384 0.24366660 0.22093600 0.13156958 0.02149300	14.943358377409703	96.02715446610708
ENV-COV-24-1028_S77.tsv	[('BA.2.86* (BA.2.86X)', 0.9994690757042363)]	BA.2.86.3 JN.1.11.1 JN.1.18 JN.1.21 JN.1.9	0.38844900 0.35530100 0.10861258 0.09913660 0.04796990	12.28222656543375	98.25435575025917
ENV-COV-24-1029_S78.tsv	[('BA.2.86* (BA.2.86X)', 0.9993537039949729)]	BA.2.86.3 JN.1.9 JN.1.1.1 JN.1.11.1 JN.1.1	0.32700500 0.27739500 0.16381424 0.15471000 0.07642947	13.869569896357245	96.77289904023007
ENV-COV-24-1030_S79.tsv	[('BA.2.86* (BA.2.86X)', 0.9985189619867949)]	JN.1.18 BA.2.86.3 JN.2.5	0.79815794 0.11249186 0.08786916	14.754591678976817	97.96675918804134
ENV-COV-24-1031_S80.tsv	[('BA.2.86* (BA.2.86X)', 0.9994237451382316)]	JN.1.18 BA.2.86.1 JN.1 JN.1.11.1 JN.1.11 BA.2.86	0.72097800 0.12136848 0.08258232 0.03929188 0.03301030 0.00219276	11.923068442146704	97.56546165936528
ENV-COV-24-1034_S81.tsv	[('BA.2.86* (BA.2.86X)', 0.9999999999877632)]	JN.1.18 BA.2.86.1 BA.2.86.3	0.99018100 0.00863300 0.00118600	10.102736316205261	97.14744340032773
ENV-COV-24-1037_S82.tsv	[('BA.2.86* (BA.2.86X)', 0.9999019999846905)]	JN.1.18 JN.1.11.1	0.94141140 0.05849060	11.593914891232682	94.33836069959536
