	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-0918.tsv
summarized	[('Omicron', 0.9991042352158614)]
lineages	BE.9 BE.7
abundances	0.73277224 0.26633200
resid	11.5121362589948
coverage	97.53202019864227
