	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-0900.tsv
summarized	[('Omicron', 0.9956818302322364)]
lineages	BE.7 BE.8 BE.1.2 BA.5.3.5 BA.5.11 BQ.1.1.56 BE.6
abundances	0.80124414 0.07615340 0.06068130 0.02296864 0.01832961 0.01159404 0.00471069
resid	11.890586680145828
coverage	99.57529344881785
