	summarized	lineages	abundances	resid	coverage
ENV-COV-24-1937_S63.tsv	[('BA.2.86* (BA.2.86.X)', 0.5144410839121052), ('KP.3* (KP.3.X)', 0.29053290590441583), ('KP.3.1.1* (KP.3.1.1.X)', 0.15778300000031015), ('KP.2* (KP.2.X)', 0.035697727092161693)]	JN.1.16.1 KP.3 JN.1.48 KP.3.1.1 KP.2.10 KP.2 JN.1.24.1 KP.2.3	0.34435785 0.29053291 0.16690863 0.15778300 0.01713117 0.01713117 0.00317460 0.00143538	9.80379905	96.20773835
ENV-COV-24-1761_S80.tsv	[('BA.2.86* (BA.2.86.X)', 0.48992609576899454), ('LB.1* (LB.1.X)', 0.25836289410401947), ('KP.2* (KP.2.X)', 0.25057399999994184)]	JN.1.9.2 LB.1 KP.2.3.1 JN.1.48	0.25836289 0.25836289 0.25057400 0.23156320	10.55142962	84.97140755
ENV-COV-24-1752_S79.tsv	[('BA.2.86* (BA.2.86.X)', 0.6178848034890313), ('JN.1.18* (JN.1.18.X)', 0.37964449892292396)]	JN.1.48.1 JN.1.16.1 JN.1.18.3 JN.1.58.2 JN.1.18	0.23824030 0.18982225 0.18982225 0.18982225 0.18982225	8.247756461	92.18473063
ENV-COV-24-1947_S68.tsv	[('JN.1.18* (JN.1.18.X)', 0.9971281473060534)]	JN.1.18	0.99712815	13.57040083	97.84636993
ENV-COV-24-1938_S64.tsv	[('BA.2.86* (BA.2.86.X)', 0.49964099999834316), ('LB.1* (LB.1.X)', 0.4996409999369393)]	JN.1.9.2 LB.1	0.49964100 0.49964100	6.528879736	76.14286192
ENV-COV-24-1928_S57.tsv	[('BA.2.86* (BA.2.86.X)', 0.541918640773236), ('LB.1* (LB.1.X)', 0.37628699997157045), ('KP.3.1.1* (KP.3.1.1.X)', 0.0785781999994245), ('KP.2* (KP.2.X)', 0.0014540799092154849)]	LB.1 JN.1.48.1 JN.1.48 KP.3.1.1 BA.2.86.6 KP.2.3	0.37628700 0.34652800 0.18992330 0.07857820 0.00546734 0.00145408	13.22748555	98.48844598
ENV-COV-24-1913_S50.tsv	[('BA.2.86* (BA.2.86.X)', 0.8887986694011327), ('JN.1.18* (JN.1.18.X)', 0.05078849539435052), ('JN.1.7* (JN.1.7.X)', 0.04232374616195877), ('LB.1* (LB.1.X)', 0.008464749232391754), ('Other', 0.007284776986345008)]	JN.1 JN.1.2 JN.1.55 JN.1.21 JN.1.15 JN.1.32 JN.1.20 JN.1.51 JN.1.28 JN.1.56 JN.1.50.1 KW.1.2 KS.1 JN.1.39.1 LF.1.1 KV.2 JN.1.50 KW.1 JN.1.13.1 LH.1 JN.1.23 JN.1.57.1 LN.1.1 KU.2 KU.1 JN.1.27 LF.1 LA.2 JN.1.18.4 JN.1.18.2 LE.1.1 JN.1.7.2 JN.1.7.1 JN.1.7.4 JN.1.7.3 JN.1.28.1 LN.1 JN.1.30.1 JN.1.14 JN.1.13 LF.2 LA.1 LF.3 LB.1 JN.1.4.5 JN.1.4.2 JN.1.4.6 KQ.1 LE.2 LE.1 JN.1.39.2 JN.1.7 JN.1.57 JN.1.55.2 JN.1.25.1 LJ.1 JN.1.39.3 JN.1.56.1 JN.1.17 JN.1.47.2 JN.1.47.1 JN.1.16.2 JN.1.42.2 JN.1.42.1 JN.1.26 JN.1.16.1 JN.1.18.3 JN.1.6.1 JN.1.18.1 JN.1.9.2 JN.1.4.3 JN.1.4.1 JN.1.4.7 JN.1.4.4 JN.1.19 JN.1.35 JN.1.32.1 JN.1.25 JN.1.51.1 JN.1.12 JN.1.58.2 JN.1.58.1 JN.1.49.1 JN.1.49.2 JN.1.24.1 JN.1.47 JN.1.53.1 JN.1.44.1 JN.1.31 JN.1.16 JN.1.6 JN.1.30 JN.1.42 JN.1.18 JN.1.9 JN.1.43 JN.1.8 JN.1.4 JN.1.39 JN.1.37 JN.1.54 JN.1.45 JN.1.40 JN.1.1 JN.1.34 JN.1.10 JN.1.58 JN.1.49 JN.1.24 JN.1.53 JN.1.38 JN.1.44 JN.1.3 KW.1.1.1 KS.1.1 KW.1.1 KS.1.2 XDK.5 XDK.1 XDK.4 XDK XDK.6 XDK.4.1	0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00846475 0.00121413 0.00121413 0.00121413 0.00121413 0.00121413 0.00121413	1.663457003	24.7299602
ENV-COV-24-1911_S48.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.9991892839289573)]	KP.3.1.1	0.99918928	7.722562916	78.05905762
ENV-COV-24-1905_S47.tsv	[('BA.2.86* (BA.2.86.X)', 0.5598943580197202), ('KP.2* (KP.2.X)', 0.34168375990302996), ('KP.3* (KP.3.X)', 0.09756417576709515)]	KP.5 KP.3 KP.1 KP.1.2 JN.1.11.1 KP.2.15 KP.2.10 KP.1.1 KP.1.1.2 KP.2 KP.2.1 KP.2.3 KP.2.3.1	0.09756418 0.09756418 0.09756418 0.09756418 0.09756418 0.08481883 0.08481883 0.08481883 0.08481883 0.08481883 0.08481883 0.00120422 0.00120422	2.964018936	44.4871752
ENV-COV-24-1934_S61.tsv	[('KP.2* (KP.2.X)', 0.5131339043442579), ('LB.1* (LB.1.X)', 0.4836733723612984)]	KP.2.7 LB.1	0.51313390 0.48367337	10.32082774	93.95043976
ENV-COV-24-1929_S58.tsv	[('BA.2.86* (BA.2.86.X)', 0.7676919106341186), ('LB.1* (LB.1.X)', 0.22949900048832425)]	JN.1.16.1 LB.1	0.76769191 0.22949900	13.21691978	98.65230913
ENV-COV-24-1912_S49.tsv	[('LB.1* (LB.1.X)', 0.9995198316245829)]	LB.1	0.99951983	6.77733926	70.65177407
ENV-COV-24-1916_S51.tsv	[('KP.2* (KP.2.X)', 0.464772269384463), ('BA.2.86* (BA.2.86.X)', 0.3044467862687969), ('JN.1.18* (JN.1.18.X)', 0.1515029535131901), ('LB.1* (LB.1.X)', 0.07575147675659505)]	KP.2 KP.2.14 KP.2.15 KP.2.10 LC.1 JN.1.18.3 LB.1 JN.1.56.1 JN.1.16.1 JN.1.18 JN.1.9.2 KP.2.3 JN.8	0.11579940 0.11579919 0.11579919 0.11579919 0.07575148 0.07575148 0.07575148 0.07575148 0.07575148 0.07575148 0.07575148 0.00157532 0.00144088	3.404547918	65.97665786
