	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-22-1084.tsv
summarized	[('Omicron', 0.9997867929263962)]
lineages	BE.9
abundances	0.99978679
resid	4.745596312363496
coverage	35.77901882754239
