	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0305.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.5883097002903808), ('XBB* (XBB.X)', 0.4052976838006972)]
lineages	XBB.1.22 XBB.1.5.83 XBB.1.5.17 XBB.1.5.47 XBB.1.5.59 XBB.1.5.31 XBB.1.5.100 XBB.1.9 XBB.1.5.6
abundances	0.37603059 0.24287600 0.17870699 0.07640690 0.02934557 0.02934557 0.02934557 0.02926710 0.00228311
resid	7.537018390439343
coverage	94.51225629535499
