	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0300_S17.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.999067356209364)]
lineages	JN.1.18 JN.1.8
abundances	0.99653352 0.00253384
resid	5.105351562185796
coverage	60.793231448349665
