	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0267_S5.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9995067905853974)]
lineages	BA.2.86
abundances	0.99950679
resid	12.238234958190779
coverage	77.41363742768284
