	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0262_S3.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9994919709992498)]
lineages	BA.2.86 BA.2.86.4
abundances	0.66710397 0.33238800
resid	11.91051827648365
coverage	87.35578370063205
