	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-COV-22-54.tsv
summarized	[('Omicron', 0.9966876782653158)]
lineages	BA.2.29 BA.2.23 BA.2.15 XAD BA.1.13 BA.1.6
abundances	0.33180656 0.33180656 0.18954200 0.06196742 0.04078257 0.04078257
resid	12.87839094358269
coverage	84.25576029160953
