	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0320_S18.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9996478250373794)]
lineages	BA.2.86
abundances	0.99964783
resid	8.348822875537188
coverage	86.15189111460388
