	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0293_S14.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9994406120275368)]
lineages	JN.1.18
abundances	0.99944061
resid	5.760374369374055
coverage	39.44754706885597
