	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0266_S4.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9994538233852674)]
lineages	JN.1.18
abundances	0.99945382
resid	8.812967421306013
coverage	83.67387887502926
