	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0273_S6.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9994663864828036)]
lineages	JN.1.4
abundances	0.99946639
resid	10.353307344775248
coverage	90.76012440223388
