	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0342_S22.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9987138630533069)]
lineages	JN.1.18
abundances	0.99871386
resid	5.51475877007814
coverage	65.6890612981975
