	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0296_S16.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9998070746945023)]
lineages	BA.2.86
abundances	0.99980707
resid	10.097326847092413
coverage	95.13426746480286
