	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0294_S15.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9994349609310036)]
lineages	BA.2.86.3 JN.1.4 JN.1.4.2
abundances	0.48704700 0.27328196 0.23910600
resid	10.921457984872932
coverage	93.0709293381935
