	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0287_S12.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9994183821789547)]
lineages	JN.3 JN.1.18 BA.2.86.3 BA.2.86.1 BA.2.86
abundances	0.74210023 0.22065300 0.03356882 0.00154817 0.00154817
resid	12.168280543132328
coverage	93.19131859679631
