	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0251_S1.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.950152223555448), ('Other', 0.04859730025077123)]
lineages	JN.1.18 BA.2.86 XDD JN.1.16 JN.1 JN.1.3 JN.1.15
abundances	0.56310700 0.32339433 0.04859730 0.03053985 0.03053985 0.00150396 0.00106724
resid	11.905229948989763
coverage	93.1311239674949
