,Other,Recombinants,BA.2.X,XBB.X,XBB.1.5.X,XBB.1.9.X,BA.2.86.X,JN.1.X
2023-08-25,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-26,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-27,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-28,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-29,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-30,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-31,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-01,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-02,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-03,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-04,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-05,0.0019705099999999254,0.0,0.0,0.0,0.12098613,0.0,0.87704336,0.0
2023-09-06,0.0019705099999999254,0.0,0.0,0.0,0.12098613,0.0,0.87704336,0.0
2023-09-07,0.0019705099999999254,0.0,0.0,0.0,0.12098613,0.0,0.87704336,0.0
2023-09-08,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-09,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-10,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-11,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-12,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-13,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-14,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-15,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-16,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-17,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-18,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-19,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-20,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-21,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-22,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-23,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-24,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
