	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-22-142	89	89	89	Eastern Cape	Buffalo City MM	17.0	2022-04-26	COV-22-142	Mdantsane Wastewater Treatment Works	BA.2.X BA.4.X BA.5.X Recombinants	[0.1787107, 0.1367301, 0.00155438, 0.678835]
COV-22-143	90	90	90	Eastern Cape	Buffalo City MM	17.0	2022-04-26	COV-22-143	East Bank Wastewater Treatment Works	BA.4.X	[0.99653709]
COV-22-144	91	91	91	Gauteng	Tshwane MM	18.0	2022-05-03	COV-22-144	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X	[0.9281419399999999, 0.06714356]
COV-22-145	92	92	92	Gauteng	Ekurhuleni MM	18.0	2022-05-03	COV-22-145	ERWAT Vlakplaat Wastewater Treatment Works	BA.4.X BA.5.X	[0.7220568, 0.27192042]
COV-22-146	93	93	93	Gauteng	Johannesburg MM	18.0	2022-05-03	COV-22-146	Goudkoppies Wastewater Treatment Works	BA.4.X BA.5.X	[0.8634957, 0.13394040999999998]
COV-22-147	94	94	94	Free State	Mangaung MM	18.0	2022-05-03	COV-22-147	Sterkwater Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Other Recombinants	[0.77701908, 0.16366427, 0.00473945, 0.03240494, 0.016686180000000002]
COV-22-148	95	95	95	Free State	Mangaung MM	18.0	2022-05-03	COV-22-148	Bloemspruit Wastewater Treatment Works	BA.4.X	[0.9984638900000001]
COV-22-149	96	96	96	Eastern Cape	Buffalo City MM	18.0	2022-05-03	COV-22-149	East Bank Wastewater Treatment Works	BA.4.X BA.5.X	[0.7438821, 0.25084081]
COV-22-15	97	97	97	Northern Cape	Namakwa DM	2.0	2022-01-12	COV-22-15	Calvinia  Wastewater Treatment Works	BA.1.X BA.2.X Recombinants Other	[0.51301592, 0.37633692, 0.10084842999999999, 0.00518731]
COV-22-150	98	98	98	Eastern Cape	Buffalo City MM	18.0	2022-05-03	COV-22-150	Mdantsane Wastewater Treatment Works	BA.4.X BA.5.X	[0.5952291799999999, 0.40132121]
COV-22-151	99	99	99	KwaZulu-Natal	Ethekwini MM	18.0	2022-05-03	COV-22-151	Central Wastewater Treatment Works (KZN)	Delta BA.5.X BA.4.X	[0.35800693, 0.57924651, 0.05308718]
COV-22-152	100	100	100	Northern Cape	Namakwa DM	18.0	2022-05-04	COV-22-152	Calvinia  Wastewater Treatment Works	BA.5.X	[0.99961119]
COV-22-153	101	101	101	Gauteng	Ekurhuleni MM	19.0	2022-05-09	COV-22-153	ERWAT Vlakplaat Wastewater Treatment Works	BA.4.X BA.5.X Recombinants	[0.88262504, 0.11080911, 0.00285326]
COV-22-154	102	102	102	Gauteng	Johannesburg MM	19.0	2022-05-09	COV-22-154	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X Delta Other	[0.42937146000000004, 0.45269292999999994, 0.07918497, 0.0245038]
COV-22-155	103	103	103	Gauteng	Ekurhuleni MM	19.0	2022-05-10	COV-22-155	Hartebeesfontein Waterworks	BA.4.X BA.5.X	[0.8376274300000001, 0.16054123]
COV-22-156	104	104	104	KwaZulu-Natal	Ethekwini MM	19.0	2022-05-09	COV-22-156	Central Wastewater Treatment Works (KZN)	Delta BA.5.X BA.2.X BA.4.X BA.1.X Recombinants	[0.17423875, 0.6383908599999999, 0.07483271, 0.04477026, 0.00747579, 0.050078410000000004]
COV-22-157	105	105	105	Gauteng	Tshwane MM	19.0	2022-05-10	COV-22-157	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X	[0.85097276, 0.14612500999999997]
COV-22-158	106	106	106	Gauteng	Tshwane MM	19.0	2022-05-10	COV-22-158	Daspoort Wastewater Treatment Works	BA.4.X BA.5.X	[0.9017785300000001, 0.09545533]
COV-22-159	107	107	107	Free State	Mangaung MM	19.0	2022-05-10	COV-22-159	Bloemspruit Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Other Recombinants	[0.67068322, 0.29340342999999997, 0.01489994, 0.00961822, 0.00501313]
COV-22-16	108	108	108	Gauteng	Johannesburg MM	3.0	2022-01-17	COV-22-16	Goudkoppies Wastewater Treatment Works	BA.2.X BA.1.X Recombinants	[0.56529694, 0.41054029999999997, 0.02149]
COV-22-160	109	109	109	Free State	Mangaung MM	19.0	2022-05-10	COV-22-160	Sterkwater Wastewater Treatment Works	BA.4.X Delta Other	[0.91733784, 0.02732482, 0.04731111]
COV-22-161	110	110	110	Gauteng	Johannesburg MM	20.0	2022-05-16	COV-22-161	Goudkoppies Wastewater Treatment Works	BA.4.X BA.5.X	[0.59274558, 0.40235747000000005]
COV-22-162	111	111	111	Gauteng	Ekurhuleni MM	20.0	2022-05-16	COV-22-162	ERWAT Vlakplaat Wastewater Treatment Works	BA.4.X BA.5.X	[0.8173356599999999, 0.17767306]
COV-22-163	112	112	112	KwaZulu-Natal	Ethekwini MM	20.0	2022-05-16	COV-22-163	Central Wastewater Treatment Works (KZN)	BA.5.X BA.4.X	[0.6865115500000001, 0.30757185000000004]
COV-22-164	113	113	113	Gauteng	Tshwane MM	20.0	2022-05-17	COV-22-164	Daspoort Wastewater Treatment Works	BA.4.X BA.5.X	[0.52751349, 0.46794024000000006]
COV-22-165	114	114	114	Gauteng	Tshwane MM	20.0	2022-05-17	COV-22-165	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X	[0.9418248100000001, 0.054491929999999994]
COV-22-166	115	115	115	Gauteng	Ekurhuleni MM	20.0	2022-05-17	COV-22-166	Hartebeesfontein Waterworks	BA.4.X BA.5.X	[0.7007386999999999, 0.29479320000000003]
COV-22-167	116	116	116	Eastern Cape	Buffalo City MM	20.0	2022-05-17	COV-22-167	East Bank Wastewater Treatment Works	BA.5.X BA.4.X	[0.64386327, 0.35385472]
COV-22-168	117	117	117	Eastern Cape	Buffalo City MM	20.0	2022-05-17	COV-22-168	Mdantsane Wastewater Treatment Works	BA.4.X	[0.9988604]
COV-22-169	118	118	118	Gauteng	Tshwane MM	22.0	2022-05-31	COV-22-169	Daspoort Wastewater Treatment Works	BA.4.X	[0.99959166]
COV-22-171	121	121	121	Gauteng	Ekurhuleni MM	22.0	2022-05-31	COV-22-171	Hartebeesfontein Waterworks	BA.4.X	[0.99975324]
COV-22-172	122	122	122	Gauteng	Johannesburg MM	22.0	2022-05-31	COV-22-172	Goudkoppies Wastewater Treatment Works	BA.5.X BA.2.X	[0.9866673299999998, 0.00847191]
COV-22-174	124	124	124	Gauteng	Tshwane MM	23.0	2022-06-07	COV-22-174	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X	[0.67446677, 0.32432521]
COV-22-175	125	125	125	Gauteng	Johannesburg MM	23.0	2022-06-07	COV-22-175	Goudkoppies Wastewater Treatment Works	BA.5.X BA.1.X BA.4.X	[0.4210018, 0.32703674, 0.24869332]
COV-22-177	127	127	127	Gauteng	Ekurhuleni MM	24.0	2022-06-14	COV-22-177	Hartebeesfontein Waterworks	BA.4.X BA.5.X	[0.67150178, 0.324794]
COV-22-18	130	130	130	Gauteng	Tshwane MM	3.0	2022-01-18	COV-22-18	Daspoort Wastewater Treatment Works	BA.1.X Recombinants	[0.44946033999999996, 0.5489942]
COV-22-180	131	131	131	Gauteng	Tshwane MM	24.0	2022-06-14	COV-22-180	Rooiwal Wastewater Treatment Works	BA.5.X	[0.9990882999999999]
COV-22-181	132	132	132	Gauteng	Tshwane MM	25.0	2022-06-21	COV-22-181	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X	[0.90402019, 0.09349754]
COV-22-182	133	133	133	Gauteng	Tshwane MM	25.0	2022-06-21	COV-22-182	Daspoort Wastewater Treatment Works	BA.4.X	[0.99939879]
COV-22-183	134	134	134	Gauteng	Tshwane MM	26.0	2022-06-28	COV-22-183	Daspoort Wastewater Treatment Works	BA.5.X	[0.9958826300000001]
COV-22-186	135	135	135	Gauteng	Tshwane MM	27.0	2022-07-05	COV-22-186	Rooiwal Wastewater Treatment Works	BA.2.X	[0.99999995]
COV-22-187	136	136	136	Gauteng	Ekurhuleni MM	28.0	2022-07-11	COV-22-187	ERWAT Vlakplaat Wastewater Treatment Works	BA.4.X	[0.99733987]
COV-22-188	137	137	137	Gauteng	Johannesburg MM	28.0	2022-07-11	COV-22-188	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X	[0.81522971, 0.18279062]
COV-22-189	138	138	138	Gauteng	Ekurhuleni MM	28.0	2022-07-12	COV-22-189	Hartebeesfontein Waterworks	BA.5.X BA.4.X Recombinants	[0.5386821199999999, 0.35252308, 0.10653119]
COV-22-19	139	139	139	Gauteng	Tshwane MM	3.0	2022-01-18	COV-22-19	Rooiwal Wastewater Treatment Works	BA.1.X BA.2.X	[0.56431093, 0.43330864]
COV-22-190	140	140	140	Gauteng	Tshwane MM	28.0	2022-07-12	COV-22-190	Rooiwal Wastewater Treatment Works	BA.5.X	[0.9991796900000001]
COV-22-191	141	141	141	Gauteng	Tshwane MM	28.0	2022-07-12	COV-22-191	Daspoort Wastewater Treatment Works	BA.4.X	[0.999411]
COV-22-193	142	142	142	Gauteng	Johannesburg MM	29.0	2022-07-19	COV-22-193	Goudkoppies Wastewater Treatment Works	BA.5.X Recombinants Other	[0.49823492, 0.40719008, 0.09159025]
COV-22-195	144	144	144	Gauteng	Tshwane MM	29.0	2022-07-20	COV-22-195	Daspoort Wastewater Treatment Works	Delta Other	[0.92385082, 0.06427905]
COV-22-196	145	145	145	Gauteng	Tshwane MM	29.0	2022-07-20	COV-22-196	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X	[0.9485559, 0.04890233]
COV-22-197	146	146	146	Gauteng	Ekurhuleni MM	30.0	2022-07-26	COV-22-197	Hartebeesfontein Waterworks	BA.4.X BA.5.X BA.2.X	[0.73657588, 0.25906674, 0.00131406]
