	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-22-287	220	220	220	Free State	Mangaung MM	41.0	2022-10-11	COV-22-287	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99884299]
COV-22-288	221	221	221	Free State	Mangaung MM	41.0	2022-10-11	COV-22-288	Sterkwater Wastewater Treatment Works	BA.5.X	[0.9961980799999999]
COV-22-289	222	222	222	Gauteng	Tshwane MM	41.0	2022-10-12	COV-22-289	Daspoort Wastewater Treatment Works	BA.5.X	[0.996329]
COV-22-290	223	223	223	Gauteng	Tshwane MM	41.0	2022-10-12	COV-22-290	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X BQ.1.X	[0.7759290600000001, 0.20585990999999998, 0.0133206]
COV-22-291	224	224	224	Gauteng	Ekurhuleni MM	42.0	2022-10-18	COV-22-291	Hartebeesfontein Waterworks	BA.5.X BQ.1.1.X BQ.1.X Recombinants	[0.7646685599999999, 0.15062006, 0.044176429999999996, 0.03381105]
COV-22-292	225	225	225	KwaZulu-Natal	Ethekwini MM	42.0	2022-10-17	COV-22-292	Central Wastewater Treatment Works (KZN)	BA.5.X	[0.9982019099999999]
COV-22-293	226	226	226	Gauteng	Ekurhuleni MM	42.0	2022-10-18	COV-22-293	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X	[0.99849943]
COV-22-294	227	227	227	Gauteng	Johannesburg MM	42.0	2022-10-18	COV-22-294	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X Recombinants	[0.8465533, 0.08699498, 0.06504867]
COV-22-295	228	228	228	Gauteng	Tshwane MM	42.0	2022-10-19	COV-22-295	Rooiwal Wastewater Treatment Works	BA.5.X BQ.1.1.X BQ.1.X BA.4.X Recombinants	[0.4321958, 0.22019022, 0.07429645, 0.01013138, 0.25873861]
COV-22-296	229	229	229	Gauteng	Tshwane MM	42.0	2022-10-19	COV-22-296	Daspoort Wastewater Treatment Works	BA.5.X BQ.1.1.X BA.4.X	[0.8818187699999999, 0.09587899999999999, 0.01758878]
COV-22-297	230	230	230	Eastern Cape	Buffalo City MM	42.0	2022-10-18	COV-22-297	Mdantsane Wastewater Treatment Works	BA.5.X	[0.999813]
COV-22-299	231	231	231	Gauteng	Ekurhuleni MM	43.0	2022-10-25	COV-22-299	Hartebeesfontein Waterworks	BA.5.X	[0.99801253]
COV-22-300	234	234	234	Free State	Mangaung MM	43.0	2022-10-25	COV-22-300	Sterkwater Wastewater Treatment Works	BA.5.X	[0.99705334]
COV-22-301	235	235	235	Free State	Mangaung MM	43.0	2022-10-25	COV-22-301	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99755905]
COV-22-304	238	238	238	Gauteng	Tshwane MM	43.0	2022-10-26	COV-22-304	Daspoort Wastewater Treatment Works	BA.5.X BQ.1.1.X BA.4.X	[0.58843081, 0.31978628000000003, 0.08618748]
COV-22-306	240	240	240	Gauteng	Johannesburg MM	44.0	2022-11-01	COV-22-306	Goudkoppies Wastewater Treatment Works	BA.5.X	[0.9950143899999999]
COV-22-307	241	241	241	Gauteng	Tshwane MM	44.0	2022-11-02	COV-22-307	Rooiwal Wastewater Treatment Works	BA.5.X BQ.1.1.X Recombinants	[0.80175663, 0.13501472, 0.05637103]
COV-22-309	242	242	242	Gauteng	Ekurhuleni MM	44.0	2022-11-01	COV-22-309	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X BQ.1.1.X	[0.8492940400000001, 0.14046884]
COV-22-31	243	243	243	Gauteng	Ekurhuleni MM	5.0	2022-01-31	COV-22-31	ERWAT Vlakplaat Wastewater Treatment Works	BA.2.X	[0.99171049]
COV-22-311	245	245	245	Free State	Mangaung MM	44.0	2022-11-01	COV-22-311	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99831796]
COV-22-312	246	246	246	Eastern Cape	Buffalo City MM	44.0	2022-11-01	COV-22-312	Mdantsane Wastewater Treatment Works	BA.5.X	[0.99825647]
COV-22-313	247	247	247	Gauteng	Ekurhuleni MM	45.0	2022-11-08	COV-22-313	Hartebeesfontein Waterworks	BA.5.X	[0.99611822]
COV-22-314	248	248	248	Gauteng	Ekurhuleni MM	45.0	2022-11-08	COV-22-314	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X	[0.99802346]
COV-22-315	249	249	249	KwaZulu-Natal	Ethekwini MM	45.0	2022-11-07	COV-22-315	Central Wastewater Treatment Works (KZN)	BA.5.X BQ.1.1.X	[0.99236524, 0.00211821]
COV-22-316	250	250	250	Free State	Mangaung MM	45.0	2022-11-08	COV-22-316	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99843923]
COV-22-317	251	251	251	Free State	Mangaung MM	45.0	2022-11-08	COV-22-317	Sterkwater Wastewater Treatment Works	BA.5.X	[0.9972506299999999]
COV-22-318	252	252	252	Gauteng	Tshwane MM	45.0	2022-11-09	COV-22-318	Daspoort Wastewater Treatment Works	BA.5.X	[0.99729792]
COV-22-319	253	253	253	Gauteng	Tshwane MM	45.0	2022-11-09	COV-22-319	Rooiwal Wastewater Treatment Works	BA.5.X	[0.99646813]
COV-22-320	255	255	255	Western Cape	Cape Town MM	46.0	2022-11-14	COV-22-320	Borcheds Quarry Wastewater Treatment Works	BA.5.X	[0.99655677]
COV-22-321	256	256	256	KwaZulu-Natal	Ethekwini MM	46.0	2022-11-14	COV-22-321	Central Wastewater Treatment Works (KZN)	BA.5.X	[0.99815535]
COV-22-331	266	266	266	Gauteng	Ekurhuleni MM	47.0	2022-11-22	COV-22-331	Hartebeesfontein Waterworks	BA.5.X	[0.99724457]
COV-22-332	267	267	267	Gauteng	Tshwane MM	47.0	2022-11-23	COV-22-332	Daspoort Wastewater Treatment Works	BA.5.X BQ.1.1.X	[0.8800754399999999, 0.1166717]
COV-22-335	269	269	269	Free State	Mangaung MM	47.0	2022-11-22	COV-22-335	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.9928450600000002]
COV-22-336	270	270	270	Free State	Mangaung MM	47.0	2022-11-22	COV-22-336	Sterkwater Wastewater Treatment Works	BA.5.X	[0.99413719]
COV-22-337	271	271	271	Gauteng	Tshwane MM	48.0	2022-11-30	COV-22-337	Daspoort Wastewater Treatment Works	BA.5.X BQ.1.X	[0.68740644, 0.3105660800000001]
COV-22-338	272	272	272	Gauteng	Tshwane MM	48.0	2022-11-29	COV-22-338	Rooiwal Wastewater Treatment Works	BA.5.X BQ.1.1.X BQ.1.X	[0.7376568699999999, 0.24798466000000002, 0.0093407]
COV-22-339	273	273	273	Gauteng	Ekurhuleni MM	48.0	2022-11-29	COV-22-339	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X BQ.1.1.X BQ.1.X	[0.58261204, 0.310477, 0.10536208]
COV-22-340	275	275	275	Gauteng	Ekurhuleni MM	48.0	2022-11-29	COV-22-340	Hartebeesfontein Waterworks	BA.5.X	[0.99964309]
COV-22-341	276	276	276	KwaZulu-Natal	Ethekwini MM	48.0	2022-11-28	COV-22-341	Central Wastewater Treatment Works (KZN)	BA.5.X BQ.1.1.X BA.4.X Recombinants	[0.8642247700000001, 0.0402174, 0.01242523, 0.08085143]
COV-22-344	279	279	279	KwaZulu-Natal	Ethekwini MM	49.0	2022-12-05	COV-22-344	Northern Wastewater Treatment Works (KZN)	BA.5.X	[0.9951777800000001]
COV-22-345	280	280	280	KwaZulu-Natal	Ethekwini MM	49.0	2022-12-05	COV-22-345	Central Wastewater Treatment Works (KZN)	BA.5.X	[0.99848785]
COV-22-346	281	281	281	Gauteng	Ekurhuleni MM	49.0	2022-12-06	COV-22-346	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X BQ.1.1.X BA.2.X Recombinants	[0.91606404, 0.04395173, 0.03464109, 0.0025554]
COV-22-347	282	282	282	Free State	Mangaung MM	49.0	2022-12-06	COV-22-347	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99947359]
COV-22-348	283	283	283	Gauteng	Tshwane MM	49.0	2022-12-07	COV-22-348	Rooiwal Wastewater Treatment Works	BA.5.X	[0.99904939]
COV-22-35	285	285	285	Gauteng	Tshwane MM	5.0	2022-02-01	COV-22-35	Rooiwal Wastewater Treatment Works	BA.2.X	[0.98785493]
COV-22-350	286	286	286	Gauteng	Tshwane MM	50.0	2022-12-14	COV-22-350	Daspoort Wastewater Treatment Works	BQ.1.X BQ.1.1.X	[0.66412822, 0.3343]
COV-22-353	289	289	289	Free State	Mangaung MM	50.0	2022-12-13	COV-22-353	Bloemspruit Wastewater Treatment Works	BA.5.X BQ.1.1.X	[0.8804428, 0.11763362]
COV-22-354	290	290	290	Gauteng	Ekurhuleni MM	50.0	2022-12-13	COV-22-354	Hartebeesfontein Waterworks	BQ.1.1.X BQ.1.X	[0.9541455200000001, 0.04283963]
COV-22-36	296	296	296	Free State	Mangaung MM	5.0	2022-02-01	COV-22-36	Sterkwater Wastewater Treatment Works	BA.1.X Recombinants	[0.5492225900000001, 0.44391806]
COV-22-4	300	300	300	Free State	Mangaung MM	1.0	2022-01-04	COV-22-4	Sterkwater Wastewater Treatment Works	BA.1.X	[0.9991678199999999]
COV-22-42	303	303	303	Gauteng	Tshwane MM	6.0	2022-02-08	COV-22-42	Rooiwal Wastewater Treatment Works	BA.2.X	[0.9976489000000001]
COV-22-43	304	304	304	Gauteng	Tshwane MM	6.0	2022-02-08	COV-22-43	Daspoort Wastewater Treatment Works	BA.2.X BA.1.X Recombinants	[0.76564195, 0.00572294, 0.22680514000000002]
COV-22-44	305	305	305	Gauteng	Ekurhuleni MM	6.0	2022-02-08	COV-22-44	Hartebeesfontein Waterworks	BA.2.X BA.1.X Recombinants	[0.45505516, 0.01501511, 0.52811547]
COV-22-45	306	306	306	KwaZulu-Natal	Ethekwini MM	6.0	2022-02-08	COV-22-45	Northern Wastewater Treatment Works (KZN)	BA.2.X	[0.99733047]
COV-22-46	307	307	307	KwaZulu-Natal	Ethekwini MM	6.0	2022-02-07	COV-22-46	Central Wastewater Treatment Works (KZN)	Other Recombinants	[0.98722077, 0.00631276]
COV-22-47	308	308	308	Free State	Mangaung MM	6.0	2022-02-08	COV-22-47	Sterkwater Wastewater Treatment Works	BA.1.X Recombinants Other	[0.7467271699999999, 0.11309277, 0.13437379]
COV-22-48	309	309	309	Free State	Mangaung MM	6.0	2022-02-08	COV-22-48	Bloemspruit Wastewater Treatment Works	Other	[0.99853993]
COV-22-51	311	311	311	Gauteng	Johannesburg MM	7.0	2022-02-14	COV-22-51	Goudkoppies Wastewater Treatment Works	BA.2.X Other	[0.61497754, 0.37563040999999997]
COV-22-52	312	312	312	Gauteng	Tshwane MM	7.0	2022-02-15	COV-22-52	Rooiwal Wastewater Treatment Works	BA.2.X	[0.99704909]
COV-22-54	314	314	314	Gauteng	Ekurhuleni MM	7.0	2022-02-15	COV-22-54	Hartebeesfontein Waterworks	BA.2.X BA.1.X Recombinants	[0.8531551199999999, 0.08156514, 0.06196742]
COV-22-56	316	316	316	KwaZulu-Natal	Ethekwini MM	7.0	2022-02-14	COV-22-56	Northern Wastewater Treatment Works (KZN)	BA.2.X	[0.99756947]
COV-22-59	318	318	318	Gauteng	Ekurhuleni MM	8.0	2022-02-22	COV-22-59	Hartebeesfontein Waterworks	BA.2.X	[0.9842479199999999]
COV-22-64	324	324	324	Free State	Mangaung MM	8.0	2022-02-22	COV-22-64	Bloemspruit Wastewater Treatment Works	BA.2.X	[0.9894748299999999]
COV-22-68	328	328	328	KwaZulu-Natal	Ethekwini MM	9.0	2022-02-28	COV-22-68	Central Wastewater Treatment Works (KZN)	Recombinants	[0.9931593599999999]
COV-22-69	329	329	329	KwaZulu-Natal	Ethekwini MM	9.0	2022-02-28	COV-22-69	Northern Wastewater Treatment Works (KZN)	BA.2.X	[0.99214622]
COV-22-75	335	335	335	Gauteng	Johannesburg MM	10.0	2022-03-07	COV-22-75	Goudkoppies Wastewater Treatment Works	BA.2.X BA.4.X	[0.83555706, 0.16215952]
COV-22-76	336	336	336	Gauteng	Tshwane MM	10.0	2022-03-08	COV-22-76	Rooiwal Wastewater Treatment Works	BA.2.X	[0.99775464]
COV-22-79	338	338	338	Gauteng	Ekurhuleni MM	10.0	2022-03-08	COV-22-79	Hartebeesfontein Waterworks	BA.2.X	[0.9976590899999999]
COV-22-8	339	339	339	KwaZulu-Natal	Ethekwini MM	2.0	2022-01-10	COV-22-8	Central Wastewater Treatment Works (KZN)	BA.1.X Other Recombinants	[0.34979686, 0.57945242, 0.06281409]
COV-22-80	340	340	340	Gauteng	Tshwane MM	10.0	2022-03-08	COV-22-80	Daspoort Wastewater Treatment Works	BA.4.X BA.2.X	[0.54513504, 0.45204244]
COV-22-84	344	344	344	Gauteng	Johannesburg MM	11.0	2022-03-14	COV-22-84	Goudkoppies Wastewater Treatment Works	BA.2.X BA.1.X BA.5.X Other Recombinants	[0.424744, 0.21476349, 0.10019307, 0.18354669, 0.07215413]
COV-22-87	347	347	347	KwaZulu-Natal	Ethekwini MM	11.0	2022-03-14	COV-22-87	Central Wastewater Treatment Works (KZN)	Delta	[0.9963747800000003]
COV-22-88	348	348	348	KwaZulu-Natal	Ethekwini MM	11.0	2022-03-14	COV-22-88	Northern Wastewater Treatment Works (KZN)	BA.2.X	[0.99482735]
COV-22-89	349	349	349	Gauteng	Tshwane MM	11.0	2022-03-15	COV-22-89	Rooiwal Wastewater Treatment Works	BA.2.X Recombinants	[0.68161346, 0.31503854]
COV-22-9	350	350	350	KwaZulu-Natal	Ethekwini MM	2.0	2022-01-10	COV-22-9	Northern Wastewater Treatment Works (KZN)	BA.1.X BA.2.X Recombinants	[0.5165725, 0.13217558, 0.34670122]
COV-22-93	353	353	353	Gauteng	Tshwane MM	12.0	2022-03-22	COV-22-93	Daspoort Wastewater Treatment Works	BA.2.X BA.5.X BA.4.X	[0.57537151, 0.22741724000000002, 0.19255986]
COV-22-94	354	354	354	Gauteng	Ekurhuleni MM	12.0	2022-03-22	COV-22-94	Hartebeesfontein Waterworks	BA.4.X BA.2.X	[0.66666694, 0.33264799]
COV-22-99	358	358	358	Gauteng	Johannesburg MM	13.0	2022-03-28	COV-22-99	Goudkoppies Wastewater Treatment Works	BA.4.X	[0.99843429]
COV-23-0696	359	359	359	Gauteng	Ekurhuleni MM	34.0	2023-08-21	COV-23-0696	Midstream	XBB.1.5.X XBB.X XBB.1.9.X BA.2.86.X	[0.6441396300000001, 0.24377122, 0.06368777, 0.04330978]
COV-23-0697	360	360	360	Gauteng	Ekurhuleni MM	34.0	2023-08-21	COV-23-0697	Tembisa Mall	BA.2.86.X	[0.99860395]
COV-23-0699	361	361	361	Gauteng	Ekurhuleni MM	34.0	2023-08-21	COV-23-0699	Namane Drive	XBB.1.5.X XBB.X BA.2.86.X BA.2.X	[0.58539488, 0.22262885000000002, 0.14922996, 0.03554616]
COV-23-0701	363	363	363	Gauteng	Tshwane MM	34.0	2023-08-22	COV-23-0701	Daspoort Wastewater Treatment Works	XBB.1.5.X XBB.X	[0.73945434, 0.25985408]
COV-23-0702	364	364	364	Gauteng	Tshwane MM	34.0	2023-08-22	COV-23-0702	SAPS Training College	BA.2.86.X XBB.1.5.X XBB.X BA.2.12.X XBB.1.9.X	[0.29672096, 0.34631420999999996, 0.27722849, 0.04390829, 0.03021297]
COV-23-0704	365	365	365	Gauteng	Tshwane MM	34.0	2023-08-22	COV-23-0704	Atteridgeville Train Station	XBB.1.5.X BA.2.86.X XBB.X BA.2.X	[0.3858, 0.33037107, 0.26689499, 0.01580633]
COV-23-0706	366	366	366	Gauteng	Tshwane MM	34.0	2023-08-22	COV-23-0706	Laudium	BA.2.X XBB.X XBB.1.5.X BA.2.87.1.X	[0.25122029, 0.35191064, 0.28780668000000004, 0.106455]
COV-23-0707	367	367	367	Gauteng	Tshwane MM	34.0	2023-08-22	COV-23-0707	Groenkloof	XBB.1.5.X BA.2.87.1.X	[0.79454001, 0.204911]
COV-23-0709	368	368	368	Gauteng	Johannesburg MM	34.0	2023-08-23	COV-23-0709	Motsoaledi	XBB.1.5.X XBB.X	[0.6258414000000005, 0.37128155000000024]
COV-23-0710	369	369	369	Gauteng	Johannesburg MM	34.0	2023-08-23	COV-23-0710	Klipsruit Yard (Before tunnel)	XBB.X XBB.1.5.X	[0.6128647699999998, 0.37970319999999974]
COV-23-0712	370	370	370	Gauteng	Johannesburg MM	34.0	2023-08-23	COV-23-0712	Bushkoppies Inlet	XBB.X XBB.1.5.X	[0.86517498, 0.13221127]
COV-23-0713	371	371	371	Gauteng	Johannesburg MM	34.0	2023-08-23	COV-23-0713	Bushkoppies Final	BA.2.86.X XBB.X XBB.1.5.X BA.2.X	[0.3552492, 0.28591021, 0.35295031, 0.0022423]
COV-23-0714	372	372	372	Gauteng	Johannesburg MM	34.0	2023-08-23	COV-23-0714	Goudkoppies Wastewater Treatment Works	XBB.1.5.X	[0.999582]
COV-23-0715	373	373	373	Gauteng	Ekurhuleni MM	34.0	2023-08-22	COV-23-0715	Hartebeesfontein Waterworks	XBB.1.5.X BA.2.86.X XBB.X BA.2.X XBB.1.16.X XBB.1.9.X	[0.38233024, 0.25718509, 0.25525114, 0.06296446, 0.03428168, 0.00245609]
COV-23-0718	374	374	374	Gauteng	Ekurhuleni MM	34.0	2023-08-24	COV-23-0718	Midstream	XBB.1.5.X	[1.0]
COV-23-0724	377	377	377	Gauteng	Tshwane MM	34.0	2023-08-25	COV-23-0724	SAPS Training College	XBB.1.5.X XBB.X BA.2.86.X	[0.73181913, 0.1549563, 0.10811040999999999]
COV-23-0725	378	378	378	Gauteng	Tshwane MM	34.0	2023-08-25	COV-23-0725	Kalafong Hospital	XBB.X	[1.0]
COV-23-0726	379	379	379	Gauteng	Tshwane MM	34.0	2023-08-25	COV-23-0726	Atteridgeville Train Station	XBB.1.5.X	[0.9991519600000001]
COV-23-0729	382	382	382	Eastern Cape	Buffalo City MM	34.0	2023-08-24	COV-23-0729	Mdantsane Wastewater Treatment Works	XBB.X	[0.9965246]
COV-23-0731	384	384	384	Gauteng	Ekurhuleni MM	35.0	2023-08-28	COV-23-0731	Tembisa Mall	XBB.X BA.2.86.X XBB.1.5.X Recombinants	[0.53276893, 0.30746716, 0.0956579, 0.06310104]
COV-23-0737	388	388	388	Gauteng	Tshwane MM	35.0	2023-08-29	COV-23-0737	SAPS Training College	XBB.1.5.X BA.2.86.X XBB.2.3.X XBB.X BA.2.X	[0.41294714, 0.18210999, 0.173719, 0.21866609, 0.00716833]
COV-23-0741	390	390	390	Gauteng	Tshwane MM	35.0	2023-08-29	COV-23-0741	Laudium	XBB.1.9.X BA.2.86.X XBB.1.5.X	[0.99246858, 0.00220109, 0.00193739]
COV-23-0742	391	391	391	Gauteng	Tshwane MM	35.0	2023-08-29	COV-23-0742	Groenkloof	XBB.X	[0.999037]
COV-23-0743	392	392	392	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0743	Chris Hani Baragwanath Hospital	BA.2.86.X XBB.X XBB.1.5.X BA.2.X	[0.43868083, 0.21145216, 0.30552749999999995, 0.040053319999999996]
COV-23-0744	393	393	393	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0744	Motsoaledi	XBB.1.5.X BA.2.86.X XBB.X Recombinants	[0.7354094999999999, 0.22059674, 0.0161385, 0.027202]
COV-23-0745	394	394	394	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0745	Klipsruit Yard (Before tunnel)	XBB.1.9.X BA.2.86.X XBB.X	[0.98429677, 0.00508646, 0.00243492]
COV-23-0746	395	395	395	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0746	Klipsruit Yard (Before tunnel)	BA.2.86.X	[0.99922868]
COV-23-0747	396	396	396	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0747	Bushkoppies Inlet	BA.2.86.X XBB.1.5.X XBB.X XBB.1.9.X BA.2.X XBB.2.3.X	[0.34156766, 0.19009813, 0.22180018, 0.12975372, 0.06072062, 0.0488467]
COV-23-0748	397	397	397	Gauteng	Johannesburg MM	35.0	2023-08-30	COV-23-0748	Bushkoppies Final	BA.2.86.X XBB.1.16.X XBB.1.5.X XBB.X BA.2.X XBB.1.9.X Recombinants	[0.49519887000000007, 0.13159311, 0.24035657, 0.09175330000000001, 0.0314898, 0.00116279, 0.001221]
COV-23-0749	398	398	398	KwaZulu-Natal	Ethekwini MM	35.0	2023-08-28	COV-23-0749	Central Wastewater Treatment Works (KZN)	BA.2.86.X XBB.X XBB.1.5.X XBB.1.16.X XBB.1.9.X BA.2.X Recombinants	[0.29241823, 0.21153133999999998, 0.24580030000000003, 0.10147051, 0.0775862, 0.06466659, 0.00100402]
COV-23-0750	399	399	399	KwaZulu-Natal	Ethekwini MM	35.0	2023-08-28	COV-23-0750	Northern Wastewater Treatment Works (KZN)	XBB.X XBB.1.5.X	[0.99727907, 0.00118064]
COV-23-0751	400	400	400	Free State	Mangaung MM	35.0	2023-08-29	COV-23-0751	Bloemspruit Wastewater Treatment Works	BA.2.86.X XBB.X	[0.86828222, 0.12909574]
COV-23-0754	401	401	401	Gauteng	Ekurhuleni MM	35.0	2023-08-31	COV-23-0754	Midstream	XBB.X XBB.1.9.X XBB.1.5.X BA.2.86.X Recombinants	[0.77510437, 0.08982959, 0.06123325, 0.03094389, 0.03927766]
COV-23-0755	402	402	402	Gauteng	Ekurhuleni MM	35.0	2023-08-31	COV-23-0755	Tembisa Mall	XBB.1.5.X XBB.X BA.2.86.X XBB.1.16.X BA.2.X	[0.49935407, 0.1356391, 0.23461344, 0.11764651, 0.0086815]
COV-23-0756	403	403	403	Gauteng	Ekurhuleni MM	35.0	2023-08-31	COV-23-0756	Moloreng	BA.2.86.X	[0.99984551]
COV-23-0759	405	405	405	Gauteng	Tshwane MM	35.0	2023-09-01	COV-23-0759	Atteridgeville Train Station	XBB.X	[0.99865497]
COV-23-0760	406	406	406	Gauteng	Tshwane MM	35.0	2023-09-01	COV-23-0760	Vergenoeg	BA.2.86.X	[0.99989429]
COV-23-0761	407	407	407	Gauteng	Tshwane MM	35.0	2023-09-01	COV-23-0761	Laudium	BA.2.86.X	[0.99956952]
COV-23-0762	408	408	408	Gauteng	Tshwane MM	35.0	2023-09-01	COV-23-0762	Groenkloof	XBB.X BA.2.86.X XBB.1.5.X	[0.56276809, 0.38917405, 0.04389134]
COV-23-0764	409	409	409	Eastern Cape	Buffalo City MM	35.0	2023-08-29	COV-23-0764	Mdantsane Wastewater Treatment Works	XBB.1.5.X	[1.0]
COV-23-0765	410	410	410	Gauteng	Ekurhuleni MM	36.0	2023-09-04	COV-23-0765	Midstream	XBB.1.5.X BA.2.86.X BA.2.X XBB.X EG.5.X XBB.1.9.X	[0.33014483, 0.48972152999999996, 0.05986234, 0.07241907, 0.03086414, 0.01392775]
COV-23-0766	411	411	411	Gauteng	Ekurhuleni MM	36.0	2023-09-04	COV-23-0766	Tembisa Mall	XBB.X BA.2.86.X	[0.635715, 0.36401733]
COV-23-0770	412	412	412	Gauteng	Tshwane MM	35.0	2023-08-30	COV-23-0770	Rooiwal Wastewater Treatment Works	XBB.X BA.2.86.X XBB.1.5.X XBB.1.9.X BA.2.12.X	[0.335461, 0.28151993, 0.23385469, 0.12457964, 0.0221708]
COV-23-0771	413	413	413	KwaZulu-Natal	Ethekwini MM	36.0	2023-09-04	COV-23-0771	Northern Wastewater Treatment Works (KZN)	XBB.X XBB.1.5.X EG.5.X	[0.6541695700000001, 0.2140585, 0.12839295]
COV-23-0772	414	414	414	Gauteng	Tshwane MM	36.0	2023-09-05	COV-23-0772	Daspoort Wastewater Treatment Works	XBB.1.5.X XBB.X BA.2.86.X BA.2.X XBB.1.9.X BA.5.X Recombinants	[0.36943783, 0.22240037, 0.30539461, 0.043648030000000004, 0.017423, 0.00860656, 0.02687863]
COV-23-0776	417	417	417	Gauteng	Tshwane MM	36.0	2023-09-05	COV-23-0776	Laudium	BA.2.86.X XBB.X XBB.1.5.X	[0.7284315499999999, 0.2168605, 0.0531668]
COV-23-0777	418	418	418	Gauteng	Tshwane MM	36.0	2023-09-05	COV-23-0777	Groenkloof	BA.2.86.X XBB.X XBB.1.5.X BA.2.X	[0.58810482, 0.19427443, 0.15009876, 0.06408826000000001]
COV-23-0778	419	419	419	Gauteng	Ekurhuleni MM	36.0	2023-09-05	COV-23-0778	ERWAT Vlakplaat Wastewater Treatment Works	XBB.1.5.X BA.2.86.X BA.2.X XBB.X	[0.66964032, 0.30092634, 0.02524684, 0.00176056]
COV-23-0779	420	420	420	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0779	Goudkoppies Wastewater Treatment Works	XBB.1.5.X XBB.X BA.2.86.X BA.2.X XBB.1.16.X Recombinants Other	[0.326355, 0.25244235, 0.30394720000000003, 0.05165564, 0.0421941, 0.01855955, 0.001974]
COV-23-0780	421	421	421	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0780	Chris Hani Baragwanath Hospital	XBB.X	[0.9979907299999999]
COV-23-0782	422	422	422	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0782	Klipsruit Yard (Before tunnel)	XBB.X	[0.99825901]
COV-23-0783	423	423	423	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0783	Klipspruit Veggies (After tunnel)	XBB.X XBB.1.9.X XBB.1.5.X	[0.59651001, 0.22964585, 0.16897731]
COV-23-0784	424	424	424	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0784	Bushkoppies Inlet	XBB.1.5.X BA.2.86.X XBB.X XBB.1.16.X BA.2.X	[0.507555, 0.27197649999999995, 0.1807465, 0.02942965, 0.00432031]
COV-23-0785	425	425	425	Gauteng	Johannesburg MM	36.0	2023-09-06	COV-23-0785	Bushkoppies Final	XBB.X BA.2.86.X XBB.1.5.X XBB.2.3.X BA.2.X Recombinants	[0.43929550000000006, 0.25915169, 0.12173445000000001, 0.08145814, 0.01994407, 0.06615703]
COV-23-0786	426	426	426	Free State	Mangaung MM	36.0	2023-09-05	COV-23-0786	Sterkwater Wastewater Treatment Works	XBB.X XBB.1.5.X	[0.6, 0.39829608000000005]
COV-23-0787	427	427	427	Free State	Mangaung MM	36.0	2023-09-05	COV-23-0787	Bloemspruit Wastewater Treatment Works	XBB.1.5.X EG.5.X BA.2.X XBB.1.9.X XBB.X BA.2.86.X Recombinants	[0.38989119, 0.17047438, 0.08019208, 0.09012765, 0.10441317, 0.02879589, 0.1313704]
COV-23-0788	428	428	428	Gauteng	Tshwane MM	36.0	2023-09-06	COV-23-0788	Rooiwal Wastewater Treatment Works	XBB.X BA.2.86.X XBB.1.5.X XBB.1.16.X BA.2.X	[0.407328, 0.28409799999999996, 0.15419395, 0.10152959, 0.051358]
COV-23-0789	429	429	429	Gauteng	Ekurhuleni MM	36.0	2023-09-07	COV-23-0789	Midstream	BA.2.86.X XBB.X XBB.1.5.X XBB.1.16.X XBB.1.9.X EG.5.X BA.2.X	[0.74937725, 0.17744833000000002, 0.030803419999999998, 0.00979745, 0.009108, 0.012606969999999999, 0.00358048]
COV-23-0790	430	430	430	Gauteng	Ekurhuleni MM	36.0	2023-09-07	COV-23-0790	Tembisa Mall	BA.2.86.X XBB.X	[0.79458782, 0.20407159000000002]
COV-23-0828	431	431	431	Gauteng	Tshwane MM	37.0	2023-09-15	COV-23-0828	Daspoort Wastewater Treatment Works	BA.2.86.X XBB.1.5.X XBB.X BA.2.87.1.X BA.2.X XBB.1.9.X BA.5.X	[0.20995413999999998, 0.31559844000000004, 0.23691800000000002, 0.0962357, 0.06339053, 0.03989149, 0.03175999]
